airport_name,total_flights,delayed_flights,percentage_delayed
"Billings, MT: Billings Logan International",305,31,10.163934426229508
"Hilton Head, SC: Hilton Head Airport",178,18,10.112359550561797
"Oakland, CA: Metropolitan Oakland International",4051,408,10.071587262404345
"Honolulu, HI: Daniel K Inouye International",4572,459,10.039370078740157
"Kahului, HI: Kahului Airport",2382,238,9.991603694374476
"Lihue, HI: Lihue Airport",1246,122,9.791332263242374
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7817,765,9.786363054880388
"Grand Junction, CO: Grand Junction Regional",308,30,9.740259740259742
"San Diego, CA: San Diego International",7393,717,9.698363316650886
"Lake Charles, LA: Lake Charles Regional",155,15,9.67741935483871
"Liberal, KS: Liberal Mid-America Regional",52,5,9.615384615384617
"Albany, GA: Southwest Georgia Regional",84,8,9.523809523809524
"Christiansted, VI: Henry E. Rohlsen",95,9,9.473684210526317
"Gillette, WY: Gillette Campbell County",64,6,9.375
"Brunswick, GA: Brunswick Golden Isles",86,8,9.30232558139535
"Kearney, NE: Kearney Regional",88,8,9.090909090909092
"Chicago, IL: Chicago Midway International",5795,524,9.042277825711821
"Pueblo, CO: Pueblo Memorial",78,7,8.974358974358974
"Reno, NV: Reno/Tahoe International",1646,147,8.930741190765493
"Stillwater, OK: Stillwater Regional",56,5,8.928571428571429
"College Station/Bryan, TX: Easterwood Field",158,14,8.860759493670885
"San Jose, CA: Norman Y. Mineta San Jose International",5007,441,8.807669263031755
"Burbank, CA: Bob Hope",2715,239,8.802946593001842
"Harlingen/San Benito, TX: Valley International",424,37,8.726415094339622
"St. George, UT: St George Regional",335,27,8.059701492537313
"North Platte, NE: North Platte Regional Airport Lee Bird Field",53,4,7.547169811320755
"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",55,4,7.2727272727272725
"Elko, NV: Elko Regional",58,4,6.896551724137931
"Saipan, TT: Francisco C. Ada Saipan International",44,3,6.8181818181818175
"Jamestown, ND: Jamestown Regional",79,5,6.329113924050633
"Casper, WY: Casper/Natrona County International",104,6,5.769230769230769
"New Haven, CT: Tweed New Haven",52,3,5.769230769230769
"Hilo, HI: Hilo International",535,30,5.607476635514018
"Cedar City, UT: Cedar City Regional",54,3,5.555555555555555
"Pocatello, ID: Pocatello Regional",92,5,5.434782608695652
"Watertown, SD: Watertown Regional",56,3,5.357142857142857
"Butte, MT: Bert Mooney",58,3,5.172413793103448
"Lewiston, ID: Lewiston Nez Perce County",64,3,4.6875
"Twin Falls, ID: Joslin Field - Magic Valley Regional",89,4,4.49438202247191
"Devils Lake, ND: Devils Lake Regional",47,1,2.127659574468085
"Owensboro, KY: Owensboro Daviess County Regional",9,0,0
"St. Cloud, MN: St. Cloud Regional",13,0,0
